x,Impulse blading,Axial entry stator vanes
0.000792,0.000296,0.00177
0.003214,2.1e-05,0.001098
0.004971,1.7e-05,0.000594
0.008187,0.00035,2.8e-05
0.009633,0.000326,2.3e-05
0.012865,-0.000432,0.000315
0.013744,-0.000497,0.000359
0.016958,0.000599,0.000329
0.017369,0.000695,0.000331
0.021928,0.000618,0.000429
0.025842,0.000724,0.000619
0.026022,0.000697,0.000632
0.030702,-0.000167,0.001135
0.031576,-8.7e-05,0.001194
0.035052,0.000755,0.001244
0.038594,0.000611,0.001218
0.04035,0.000409,0.001246
0.044148,0.000391,0.00178
0.044443,0.000423,0.001854
0.048244,0.000707,0.002938
0.051161,0.000476,0.003706
0.053508,0.000453,0.004131
0.057014,0.001552,0.004495
0.057592,0.00162,0.004543
0.062862,0.001572,0.00503
0.063731,0.001581,0.005108
0.067832,0.001861,0.005483
0.069285,0.001944,0.00567
0.073094,0.002422,0.00639
0.074838,0.002973,0.006776
0.078147,0.003983,0.007501
0.080099,0.004132,0.007881
0.083324,0.004087,0.008333
0.084031,0.004136,0.008454
0.086987,0.004698,0.009022
0.091216,0.005201,0.00991
0.0925,0.005383,0.010194
0.095826,0.005755,0.010995
0.097634,0.005713,0.011473
0.099694,0.005773,0.012018
0.102602,0.006681,0.012849
0.103191,0.006807,0.01303
0.107294,0.006886,0.014376
0.108445,0.007048,0.014771
0.11203,0.007864,0.015983
0.112535,0.007965,0.016143
0.116938,0.008821,0.01748
0.118964,0.009505,0.018067
0.120867,0.009948,0.0186
0.125633,0.00992,0.019893
0.126025,0.009966,0.02
0.132429,0.011591,0.021811
0.1341,0.011772,0.022319
0.134494,0.011706,0.022441
0.136335,0.012055,0.023033
0.140614,0.012706,0.024511
0.142199,0.013183,0.025085
0.145172,0.013797,0.026182
0.150665,0.013952,0.028195
0.151137,0.0141,0.028364
0.154007,0.016566,0.02938
0.157274,0.01548,0.030574
0.15913,0.015625,0.031305
0.162112,0.016593,0.032588
0.166625,0.017957,0.034521
0.167227,0.018127,0.034756
0.17058,0.018676,0.035959
0.175325,0.018711,0.037523
0.175979,0.018804,0.03775
0.179374,0.020399,0.039248
0.179418,0.020418,0.039269
0.184453,0.02155,0.041562
0.187102,0.021968,0.042698
0.190096,0.022509,0.043903
0.194097,0.023485,0.045405
0.195199,0.023711,0.045807
0.198197,0.024248,0.046903
0.200038,0.024597,0.047596
0.203297,0.025081,0.048916
0.205204,0.025425,0.049777
0.208875,0.026681,0.051535
0.210657,0.027284,0.052365
0.216015,0.028723,0.054665
0.218754,0.028958,0.055816
0.220658,0.029118,0.056651
0.223841,0.029929,0.058097
0.226244,0.03066,0.059132
0.228222,0.03108,0.060014
0.229126,0.031201,0.060453
0.233106,0.031904,0.06237
0.233843,0.032044,0.062695
0.237964,0.032942,0.064443
0.241202,0.03376,0.065821
0.246064,0.035024,0.067999
0.248931,0.035778,0.069271
0.254532,0.037107,0.071628
0.257027,0.037589,0.072722
0.263369,0.038849,0.075822
0.264755,0.039197,0.076514
0.271837,0.041274,0.07986
0.272851,0.041562,0.080308
0.280211,0.043338,0.083414
0.280305,0.043357,0.083455
0.288307,0.044984,0.087208
0.288774,0.045098,0.08744
0.296035,0.047178,0.091
0.297242,0.047523,0.091484
0.300452,0.048365,0.092727
0.305342,0.049605,0.095313
0.308178,0.050402,0.096862
0.313809,0.05203,0.099783
0.316273,0.052694,0.100998
0.321909,0.054112,0.103732
0.324001,0.054635,0.10479
0.328536,0.055847,0.107223
0.331727,0.056767,0.108925
0.336635,0.058271,0.111373
0.339455,0.059239,0.112717
0.340316,0.059653,0.113121
0.343591,0.060244,0.114754
0.348049,0.061048,0.117334
0.349021,0.061298,0.117885
0.356517,0.063131,0.121901
0.356748,0.063186,0.12202
0.364107,0.06508,0.125811
0.364617,0.065213,0.126085
0.370896,0.066749,0.129496
0.371098,0.066805,0.129601
0.37674,0.068671,0.132393
0.378825,0.069366,0.133393
0.383752,0.070869,0.135785
0.386553,0.07163,0.137185
0.390181,0.072521,0.139051
0.393912,0.073384,0.140976
0.394857,0.073624,0.141453
0.398363,0.074723,0.14314
0.398495,0.074768,0.143201
