graph_x,deg_of_accel
-972.26,0.011072
-939.62,0.010616
-908.55,0.010219
-874.29,0.009532
-844.82,0.009195
-813.17,0.008584
-783.76,0.008342
-749.96,0.007772
-720.04,0.007318
-684.65,0.00696
-656.33,0.006465
-627.75,0.006012
-597.93,0.005783
-566.65,0.005336
-534.21,0.004759
-503.44,0.004388
-473.16,0.004078
-438.11,0.00344
-409.44,0.003225
-370.7,0.002764
-348.38,0.002372
-318.02,0.001951
-284.68,0.001691
-254.83,0.001547
-223.63,0.001009
-193.74,0.000871
-151.96,0.000157
-113.7,0.000196
-85.63,-0.000181
-50.51,-0.000208
-19.32,-0.000177
8.43,-6.70E-05
36.4,-0.000344
61.06,-6.40E-05
89.41,0.000173
115.75,0.00062
143.08,0.001302
178.81,0.002121
195.33,0.003095
225.03,0.003621
250.93,0.004641
271.22,0.005665
293.23,0.006873
313.17,0.008117
338.15,0.009618
359.28,0.011385
380.38,0.012878
399.08,0.014517
417.31,0.016138
434.67,0.017785
451.57,0.01974
475.27,0.022313
491.11,0.024047
506.87,0.026086
522.44,0.027995
535.8,0.029859
547.46,0.031806
562.08,0.033803
574.57,0.036025
588.36,0.037748
595.38,0.039836
609.32,0.041863
618.26,0.044192
630.29,0.045807
641.18,0.048003
653.9,0.049923
659.12,0.051295
666.13,0.052902
677.42,0.05541
684.81,0.057121
695.73,0.059525
705.57,0.061749
714.04,0.063641
724.25,0.066104
732.35,0.067756
740.86,0.069778
748,0.071871
755.33,0.073997
766.31,0.075986
767.74,0.077399
781.95,0.080273
788.49,0.082299
797.61,0.084388
805.07,0.086381
813.26,0.088503
817.42,0.090872
