x,K_K_des
-0.35796,0.7338
-0.33859,0.7245
-0.32117,0.7325
-0.30239,0.7232
-0.28439,0.7312
-0.2685,0.7413
-0.25799,0.741
-0.23579,0.7595
-0.21943,0.7686
-0.20308,0.768
-0.19259,0.7483
-0.17623,0.7574
-0.16219,0.7762
-0.15283,0.7953
-0.1416,0.7992
-0.12244,0.8232
-0.10625,0.8346
-0.08738,0.851
-0.06518,0.8599
-0.04765,0.8787
-0.03476,0.917
-0.02073,0.9358
-0.00785,0.9741
0.00503,1.0124
0.02025,1.0506
0.03547,1.0888
0.046,1.1078
0.05297,1.1584
0.06711,1.204
0.07884,1.2617
0.08693,1.2793
0.09285,1.3157
0.11051,1.4059
0.1239,1.4855
0.13402,1.5697
0.14577,1.6468
0.15058,1.6921
0.15874,1.7723
0.16814,1.8398
0.17288,1.9354
0.18034,2.045
0.18712,2.1492
0.19678,2.313
0.20371,2.4102
0.21175,2.5933
0.21568,2.7199
0.22527,2.8858
0.22997,3.0197
0.23584,3.1784
0.24192,3.31
0.24435,3.4068
0.24801,3.5714
0.25253,3.715
0.25525,3.8231
0.25768,3.9199
0.26017,4.0199
0.26257,4.1523
0.2678,4.3126
0.26966,4.2489
0.27214,4.4039
0.27398,4.6176
0.27462,4.5588
0.2794,4.6652
