pitch_chord_ratio,exit_flow_angle,K_P_1
0.30222,80,0.057719
0.30225,80,0.057722
0.30316,80,0.057789
0.30326,80,0.057796
0.30518,80,0.057902
0.33256,80,0.057904
0.33737,80,0.057796
0.35111,80,0.057417
0.36641,80,0.056913
0.3766,80,0.056549
0.38831,80,0.056112
0.39409,80,0.055891
0.40215,80,0.055581
0.40685,80,0.0554
0.40691,80,0.055398
0.43531,80,0.054317
0.43789,80,0.054222
0.44423,80,0.053994
0.45191,80,0.053727
0.45322,80,0.053683
0.45481,80,0.053629
0.4752,80,0.053001
0.48,80,0.052867
0.48739,80,0.052672
0.48899,80,0.052632
0.5108,80,0.052152
0.5124,80,0.052123
0.51252,80,0.052121
0.51889,80,0.052016
0.52312,80,0.051957
0.52472,80,0.051937
0.54654,80,0.051758
0.54815,80,0.051751
0.54984,80,0.051743
0.55623,80,0.05172
0.5573,80,0.051717
0.56046,80,0.051707
0.5823,80,0.051678
0.58546,80,0.051681
0.58562,80,0.051681
0.59304,80,0.051694
0.59514,80,0.0517
0.5962,80,0.051703
0.61804,80,0.051829
0.62123,80,0.051855
0.62451,80,0.051884
0.63034,80,0.051937
0.63249,80,0.051957
0.63351,80,0.051967
0.65535,80,0.052215
0.65855,80,0.052262
0.66186,80,0.052314
0.66765,80,0.052415
0.67082,80,0.052478
0.67141,80,0.05249
0.69267,80,0.053048
0.69589,80,0.053148
0.69921,80,0.053255
0.70341,80,0.053395
0.70813,80,0.053556
0.70879,80,0.053578
0.72533,80,0.054165
0.7348,80,0.054513
0.73658,80,0.05458
0.74073,80,0.054736
0.74545,80,0.054916
0.74617,80,0.054943
0.76111,80,0.055527
0.77216,80,0.055971
0.77395,80,0.056044
0.77805,80,0.056212
0.78043,80,0.05631
0.78279,80,0.056407
0.80001,80,0.057147
0.80953,80,0.0576
0.80978,80,0.057613
0.81538,80,0.057904
0.81626,80,0.057952
0.82169,80,0.058259
0.83892,80,0.059353
0.8456,80,0.059808
0.8469,80,0.059897
0.85055,80,0.060149
0.85272,80,0.060298
0.86059,80,0.060842
0.87784,80,0.062032
0.88144,80,0.06228
0.88429,80,0.062477
0.8864,80,0.062622
0.89162,80,0.062982
0.89951,80,0.063526
0.91187,80,0.064379
0.91521,80,0.06461
0.91728,80,0.064752
0.92167,80,0.065056
0.93532,80,0.065997
0.95077,80,0.067064
0.95156,80,0.067118
0.95258,80,0.067189
0.95752,80,0.067529
0.97269,80,0.068577
0.98814,80,0.069645
0.98997,80,0.069772
0.99024,80,0.069791
1.01007,80,0.066934
1.02425,80,0.063907
1.02454,80,0.063836
1.0255,80,0.063588
1.0459,80,0.057039
1.05699,80,0.052351
1.05883,80,0.051491
1.06132,80,0.050288
1.0802,80,0.03967
1.09129,80,0.032116
1.09313,80,0.030765
1.09869,80,0.026501
0.30222,75,0.059696
0.30225,75,0.059693
0.30316,75,0.059607
0.30326,75,0.059597
0.30518,75,0.059414
0.33256,75,0.056819
0.33737,75,0.056369
0.35111,75,0.055103
0.36641,75,0.053757
0.3766,75,0.052937
0.38831,75,0.052106
0.39409,75,0.051739
0.40215,75,0.051247
0.40685,75,0.050955
0.40691,75,0.050951
0.43531,75,0.04917
0.43789,75,0.049013
0.44423,75,0.04864
0.45191,75,0.048206
0.45322,75,0.048134
0.45481,75,0.048048
0.4752,75,0.047056
0.48,75,0.046855
