pitch_chord_ratio,exit_flow_angle,K_P_2
0.13586,70,0.160873
0.1401,70,0.160227
0.16645,70,0.15625
0.18648,70,0.153328
0.20937,70,0.150174
0.20958,70,0.150147
0.21701,70,0.14918
0.22421,70,0.148273
0.22969,70,0.147602
0.23109,70,0.147434
0.25871,70,0.14435
0.25972,70,0.144247
0.27356,70,0.142884
0.28755,70,0.141625
0.29363,70,0.141115
0.30151,70,0.140486
0.30267,70,0.140396
0.3277,70,0.138673
0.32855,70,0.138623
0.33986,70,0.137998
0.37181,70,0.136842
0.37689,70,0.136756
0.39441,70,0.136704
0.40291,70,0.136832
0.40305,70,0.136835
0.42849,70,0.137811
0.45818,70,0.139921
0.46863,70,0.140867
0.47767,70,0.141751
0.48702,70,0.14272
0.49013,70,0.143054
0.5225,70,0.146847
0.55004,70,0.150444
0.55204,70,0.150714
0.5591,70,0.151675
0.57566,70,0.153964
0.58103,70,0.154713
0.60929,70,0.158659
0.61803,70,0.159866
0.63727,70,0.162483
0.64096,70,0.162983
0.6674,70,0.166615
0.67135,70,0.167173
0.68602,70,0.169289
0.69325,70,0.170366
0.70964,70,0.172882
0.73072,70,0.176259
0.745,70,0.178646
0.74963,70,0.179443
0.75561,70,0.180494
0.75673,70,0.180696
0.77142,70,0.18346
0.77763,70,0.184689
0.77976,70,0.185107
0.80327,70,0.189426
0.8103,70,0.190686
0.81596,70,0.191712
0.83999,70,0.196501
0.84099,70,0.196728
0.84521,70,0.19774
0.84704,70,0.198206
0.86202,70,0.203626
0.87139,70,0.218949
0.88409,70,0.226686
0.90567,70,0.242557
0.91619,70,0.25175
0.13586,65,0.157443
0.1401,65,0.156503
0.16645,65,0.150707
0.18648,65,0.14646
0.20937,65,0.141906
0.20958,65,0.141867
0.21701,65,0.140478
0.22421,65,0.139173
0.22969,65,0.138208
0.23109,65,0.137966
0.25871,65,0.133504
0.25972,65,0.133354
0.27356,65,0.131356
0.28755,65,0.129487
0.29363,65,0.12872
0.30151,65,0.127767
0.30267,65,0.127629
0.3277,65,0.124897
0.32855,65,0.124812
0.33986,65,0.123717
0.37181,65,0.121063
0.37689,65,0.120701
0.39441,65,0.119583
0.40291,65,0.119113
0.40305,65,0.119106
0.42849,65,0.117977
0.45818,65,0.117169
0.46863,65,0.117009
0.47767,65,0.116922
0.48702,65,0.11688
0.49013,65,0.116877
0.5225,65,0.117193
0.55004,65,0.118011
0.55204,65,0.118094
0.5591,65,0.118413
0.57566,65,0.119345
0.58103,65,0.119704
0.60929,65,0.12203
0.61803,65,0.122882
0.63727,65,0.124918
0.64096,65,0.125328
0.6674,65,0.128393
0.67135,65,0.128867
0.68602,65,0.130654
0.69325,65,0.131549
0.70964,65,0.133611
0.73072,65,0.136342
0.745,65,0.138333
0.74963,65,0.139009
0.75561,65,0.139887
0.75673,65,0.140053
0.77142,65,0.142172
0.77763,65,0.143033
0.77976,65,0.143323
0.80327,65,0.146334
0.8103,65,0.147173
0.81596,65,0.147824
0.83999,65,0.150324
0.84099,65,0.15042
0.84521,65,0.150825
0.84704,65,0.151
0.86202,65,0.152459
0.87139,65,0.153434
0.88409,65,0.154864
0.90567,65,0.157566
0.91619,65,0.158983
0.13586,60,0.149008
0.1401,60,0.148212
0.16645,60,0.143062
0.18648,60,0.139008
0.20937,60,0.134378
0.20958,60,0.134337
0.21701,60,0.132864
0.22421,60,0.131458
0.22969,60,0.130403
0.23109,60,0.130137
0.25871,60,0.125137
0.25972,60,0.124966
0.27356,60,0.122681
0.28755,60,0.12051
0.29363,60,0.119606
0.30151,60,0.118471
0.30267,60,0.118306
0.3277,60,0.11495
0.32855,60,0.114843
0.33986,60,0.113444
0.37181,60,0.10988
0.37689,60,0.109374
0.39441,60,0.107776
0.40291,60,0.107088
0.40305,60,0.107077
0.42849,60,0.105387
0.45818,60,0.104106
0.46863,60,0.103804
0.47767,60,0.103595
0.48702,60,0.103426
0.49013,60,0.10338
0.5225,60,0.103149
0.55004,60,0.103262
0.55204,60,0.103281
0.5591,60,0.103363
0.57566,60,0.103636
0.58103,60,0.10375
0.60929,60,0.104554
0.61803,60,0.104873
0.63727,60,0.105684
0.64096,60,0.105856
0.6674,60,0.107246
0.67135,60,0.107478
0.68602,60,0.10839
0.69325,60,0.108873
0.70964,60,0.11005
0.73072,60,0.111728
0.745,60,0.112958
0.74963,60,0.113371
0.75561,60,0.113911
0.75673,60,0.114014
0.77142,60,0.115379
0.77763,60,0.115966
0.77976,60,0.116169
0.80327,60,0.118439
0.8103,60,0.119129
0.81596,60,0.119687
0.83999,60,0.122086
0.84099,60,0.122186
0.84521,60,0.122614
0.84704,60,0.122801
0.86202,60,0.124401
0.87139,60,0.125262
0.88409,60,0.125028
0.90567,60,0.074156
0.91619,60,0.004392
0.13586,55,0.143601
0.1401,55,0.142887
0.16645,55,0.138377
0.18648,55,0.13486
0.20937,55,0.130759
0.20958,55,0.130722
0.21701,55,0.129378
0.22421,55,0.128073
0.22969,55,0.127077
0.23109,55,0.126824
0.25871,55,0.121827
0.25972,55,0.121647
0.27356,55,0.119176
0.28755,55,0.116714
0.29363,55,0.115655
0.30151,55,0.114295
0.30267,55,0.114094
0.3277,55,0.109903
0.32855,55,0.109766
0.33986,55,0.10796
0.37181,55,0.103236
0.37689,55,0.102545
0.39441,55,0.100299
0.40291,55,0.099284
0.40305,55,0.099268
0.42849,55,0.096499
0.45818,55,0.093724
0.46863,55,0.09285
0.47767,55,0.092135
0.48702,55,0.091437
0.49013,55,0.091214
0.5225,55,0.089182
0.55004,55,0.087919
0.55204,55,0.087847
0.5591,55,0.087614
0.57566,55,0.087203
0.58103,55,0.087108
0.60929,55,0.086888
0.61803,55,0.086901
0.63727,55,0.08703
0.64096,55,0.087067
0.6674,55,0.087431
0.67135,55,0.087501
0.68602,55,0.087801
0.69325,55,0.087974
0.70964,55,0.088437
0.73072,55,0.089199
0.745,55,0.089845
0.74963,55,0.090079
0.75561,55,0.090398
0.75673,55,0.09046
0.77142,55,0.09134
0.77763,55,0.091748
0.77976,55,0.091894
0.80327,55,0.093662
0.8103,55,0.094248
0.81596,55,0.094738
0.83999,55,0.096973
0.84099,55,0.09707
0.84521,55,0.097486
0.84704,55,0.097668
0.86202,55,0.099187
0.87139,55,0.100157
0.88409,55,0.101484
0.90567,55,0.103732
0.91619,55,0.104804
0.13586,50,0.14639
0.1401,50,0.145456
0.16645,50,0.13965
0.18648,50,0.135227
0.20937,50,0.13014
0.20958,50,0.130094
0.21701,50,0.128425
0.22421,50,0.126629
0.22969,50,0.125223
0.23109,50,0.124906
0.25871,50,0.118815
0.25972,50,0.1186
0.27356,50,0.115711
0.28755,50,0.11305
0.29363,50,0.112011
0.30151,50,0.110766
0.30267,50,0.110585
0.3277,50,0.106323
0.32855,50,0.106172
0.33986,50,0.104164
0.37181,50,0.098665
0.37689,50,0.097829
0.39441,50,0.095052
0.40291,50,0.093776
0.40305,50,0.093756
0.42849,50,0.090259
0.45818,50,0.086739
0.46863,50,0.085627
0.47767,50,0.084711
0.48702,50,0.083807
0.49013,50,0.083515
0.5225,50,0.080732
0.55004,50,0.078733
0.55204,50,0.078601
0.5591,50,0.078153
0.57566,50,0.077194
0.58103,50,0.076912
0.60929,50,0.075675
0.61803,50,0.075383
0.63727,50,0.074902
0.64096,50,0.074838
0.6674,50,0.074657
0.67135,50,0.074676
0.68602,50,0.074858
0.69325,50,0.075007
0.70964,50,0.075478
0.73072,50,0.076301
0.745,50,0.07696
0.74963,50,0.077185
0.75561,50,0.077482
0.75673,50,0.077538
0.77142,50,0.078293
0.77763,50,0.078622
0.77976,50,0.078737
0.80327,50,0.080079
0.8103,50,0.080512
0.81596,50,0.080874
0.83999,50,0.082585
0.84099,50,0.082664
0.84521,50,0.083004
0.84704,50,0.083156
0.86202,50,0.084489
0.87139,50,0.085401
0.88409,50,0.086718
0.90567,50,0.089096
0.91619,50,0.090267
0.13586,40,0.146448
0.1401,40,0.145418
0.16645,40,0.139043
0.18648,40,0.134201
0.20937,40,0.128636
0.20958,40,0.128587
0.21701,40,0.126774
0.22421,40,0.125027
0.22969,40,0.123711
0.23109,40,0.123378
0.25871,40,0.117083
0.25972,40,0.116865
0.27356,40,0.113936
0.28755,40,0.111084
0.29363,40,0.109868
0.30151,40,0.108314
0.30267,40,0.108085
0.3277,40,0.103261
0.32855,40,0.1031
0.33986,40,0.10097
0.37181,40,0.0952
0.37689,40,0.094329
0.39441,40,0.091444
0.40291,40,0.090116
0.40305,40,0.090095
0.42849,40,0.086403
0.45818,40,0.082537
0.46863,40,0.081271
0.47767,40,0.080212
0.48702,40,0.07915
0.49013,40,0.078804
0.5225,40,0.075438
0.55004,40,0.07298
0.55204,40,0.072818
0.5591,40,0.072266
0.57566,40,0.071092
0.58103,40,0.07075
0.60929,40,0.069232
0.61803,40,0.068852
0.63727,40,0.068152
0.64096,40,0.068038
0.6674,40,0.0674
0.67135,40,0.06733
0.68602,40,0.06713
0.69325,40,0.067064
0.70964,40,0.066994
0.73072,40,0.06706
0.745,40,0.067199
0.74963,40,0.06726
0.75561,40,0.067349
0.75673,40,0.067367
0.77142,40,0.067643
0.77763,40,0.067783
0.77976,40,0.067834
0.80327,40,0.068525
0.8103,40,0.06878
0.81596,40,0.069003
0.83999,40,0.070155
0.84099,40,0.070211
0.84521,40,0.070456
0.84704,40,0.070565
0.86202,40,0.071548
0.87139,40,0.072233
0.88409,40,0.073232
0.90567,40,0.075066
0.91619,40,0.075991
