beta_b1_b2,tmax_and_c
10.781,0.151336
13.75,0.151306
16.719,0.151277
19.688,0.151247
22.656,0.151461
25.507,0.151433
28.476,0.151404
31.445,0.151374
34.414,0.151344
37.383,0.151315
40.232,0.152263
42.487,0.155169
44.978,0.158317
47.589,0.161219
49.962,0.164612
52.572,0.167515
54.945,0.170664
57.319,0.173569
58.268,0.174779
60.76,0.177927
63.963,0.1818
66.336,0.184949
70.923,0.190922
75.354,0.196085
77.846,0.199233
80.219,0.202382
82.711,0.205286
85.084,0.208435
87.694,0.211581
90.067,0.21473
92.559,0.217878
94.932,0.220783
96.475,0.222476
98.967,0.225624
101.459,0.228771
103.831,0.23192
108.578,0.23773
111.07,0.240878
113.443,0.243783
116.589,0.247964
118.901,0.250562
121.87,0.250532
124.839,0.250503
127.808,0.250473
130.539,0.25069
133.508,0.250661
136.358,0.250632
139.327,0.250603
142.296,0.250573
145.265,0.250543
149.184,0.250504
152.153,0.250475
155.122,0.250445
