beta_b1,beta_b2,Stagger Angle
-30.091,80,68.065
-29.945,80,68.058
-29.941,80,68.058
-29.841,80,68.053
-29.824,80,68.053
-29.807,80,68.052
-25.756,80,67.865
-25.42,80,67.85
-21.51,80,67.67
-20.999,80,67.646
-17.441,80,67.476
-17.033,80,67.456
-16.755,80,67.443
-16.047,80,67.41
-14.848,80,67.355
-13.809,80,67.307
-13.549,80,67.295
-12.334,80,67.24
-9.48,80,67.108
-7.913,80,67.036
-6.785,80,66.985
-5.412,80,66.922
-3.756,80,66.845
-3.562,80,66.836
-3.492,80,66.833
-2.92,80,66.805
-1.343,80,66.73
0.752,80,66.629
0.789,80,66.628
2.549,80,66.546
5.173,80,66.426
6.353,80,66.372
6.618,80,66.36
7.106,80,66.338
7.533,80,66.318
9.594,80,66.222
10.687,80,66.171
11.822,80,66.118
14.015,80,66.019
14.756,80,65.987
15.738,80,65.945
18.259,80,65.815
18.825,80,65.779
18.92,80,65.772
19.045,80,65.764
20.721,80,65.628
22.68,80,65.412
22.894,80,65.384
26.002,80,64.926
26.786,80,64.825
26.925,80,64.809
26.968,80,64.804
27.96,80,64.704
29.1,80,64.607
30.855,80,64.456
31.346,80,64.405
33.777,80,64.078
34.924,80,63.902
35.59,80,63.802
37.717,80,63.503
38.709,80,63.365
38.816,80,63.35
39.701,80,63.219
39.835,80,63.198
40.515,80,63.09
42.531,80,62.725
44.079,80,62.395
46.247,80,61.873
46.481,80,61.816
47.404,80,61.596
47.485,80,61.577
48.324,80,61.392
51.378,80,60.82
51.816,80,60.738
52.569,80,60.589
55.27,80,59.947
56.637,80,59.585
59.163,80,58.931
59.969,80,58.742
60.099,80,58.713
60.122,80,58.707
60.132,80,58.705
-30.091,75,63.802
-29.945,75,63.786
-29.941,75,63.786
-29.841,75,63.776
-29.824,75,63.774
-29.807,75,63.772
-25.756,75,63.349
-25.42,75,63.314
-21.51,75,62.908
-20.999,75,62.855
-17.441,75,62.49
-17.033,75,62.448
-16.755,75,62.42
-16.047,75,62.348
-14.848,75,62.226
-13.809,75,62.122
-13.549,75,62.096
-12.334,75,61.976
-9.48,75,61.698
-7.913,75,61.549
-6.785,75,61.445
-5.412,75,61.32
-3.756,75,61.178
-3.562,75,61.162
-3.492,75,61.156
-2.92,75,61.11
-1.343,75,60.987
0.752,75,60.766
0.789,75,60.761
2.549,75,60.494
5.173,75,60.054
6.353,75,59.853
6.618,75,59.808
7.106,75,59.725
7.533,75,59.652
9.594,75,59.303
10.687,75,59.12
11.822,75,58.93
14.015,75,58.568
14.756,75,58.447
15.738,75,58.289
18.259,75,57.896
18.825,75,57.808
18.92,75,57.793
19.045,75,57.773
20.721,75,57.491
22.68,75,57.125
22.894,75,57.083
26.002,75,56.434
26.786,75,56.258
26.925,75,56.227
26.968,75,56.217
27.96,75,55.986
29.1,75,55.714
30.855,75,55.292
31.346,75,55.175
33.777,75,54.624
34.924,75,54.386
35.59,75,54.254
37.717,75,53.842
38.709,75,53.647
38.816,75,53.626
39.701,75,53.445
39.835,75,53.417
40.515,75,53.269
42.531,75,52.789
44.079,75,52.379
46.247,75,51.749
46.481,75,51.677
47.404,75,51.389
47.485,75,51.363
48.324,75,51.095
51.378,75,50.137
51.816,75,50.006
52.569,75,49.786
55.27,75,49.022
56.637,75,48.644
59.163,75,47.953
59.969,75,47.734
60.099,75,47.698
60.122,75,47.692
60.132,75,47.689
-30.091,70,60.039
-29.945,70,60.015
-29.941,70,60.014
-29.841,70,59.998
-29.824,70,59.995
-29.807,70,59.992
-25.756,70,59.312
-25.42,70,59.256
-21.51,70,58.582
-20.999,70,58.492
-17.441,70,57.838
-17.033,70,57.76
-16.755,70,57.705
-16.047,70,57.565
-14.848,70,57.318
-13.809,70,57.096
-13.549,70,57.039
-12.334,70,56.768
-9.48,70,56.099
-7.913,70,55.722
