x,Rotor,Nozzle
0.50002,2.17929,1.40003
0.50115,2.17479,1.39772
0.51542,2.11729,1.36859
0.53082,2.0522,1.3372
0.54622,1.9871,1.30589
0.56271,1.9251,1.27253
0.57811,1.8631,1.24172
0.5933,1.80191,1.21205
0.59351,1.80111,1.21166
0.603,1.76521,1.19641
0.61001,1.73911,1.19086
0.61894,1.70547,1.18075
0.6265,1.6771,1.17221
0.643,1.6182,1.1536
0.6606,1.55929,1.1338
0.67709,1.50039,1.11526
0.69469,1.44148,1.09552
0.71449,1.38567,1.07335
0.73319,1.33295,1.05247
0.75298,1.28023,1.03045
0.76928,1.23393,1.01246
0.77278,1.22441,1.00864
0.77968,1.20745,1.00072
0.78158,1.2027,1.00056
0.79492,1.18232,0.99872
0.80577,1.16546,0.99821
0.82997,1.13131,0.99827
0.85417,1.09406,0.99901
0.87946,1.05991,1.00013
0.90256,1.02576,1.00131
0.91963,1.00218,1.00221
0.92102,1.00026,1.00229
