M_1_hub,delta_p_q_1_hub
0.43105,0.00962
0.44728,0.02957
0.46987,0.05866
0.48884,0.09126
0.50305,0.11572
0.53254,0.18693
0.56076,0.2746
0.58898,0.36226
0.61593,0.46637
0.64289,0.57865
0.66857,0.69104
0.69298,0.8117
0.71739,0.94053
0.74053,1.06946
0.76495,1.20647
0.7881,1.35175
0.81124,1.48886
0.8331,1.62607
0.85625,1.77135
0.8794,1.91664
0.90127,2.06202
0.92187,2.21568
0.94246,2.36116
0.96178,2.51492
0.9811,2.67686
0.99915,2.83889
1.0172,3.0091
1.03397,3.17941
1.05074,3.34155
1.06624,3.52014
1.08302,3.69862
1.09852,3.87721
1.11402,4.05579
1.12824,4.23448
1.14374,4.41307
1.15797,4.59993
1.17219,4.77861
1.18641,4.9573
1.18925,5.00305
