beta_b2,beta_b1,stagger_angle
50,-29.6,44.9
50,-25,42.6
50,-19.8,39.6
50,-16,38
50,-10.7,35.4
50,-6.2,32.7
50,-2.48,30.8
50,1.55,29.2
50,4.5,27.5
50,7.44,25.9
50,12.1,23.6
50,15.7,21.8
50,19.5,19.9
50,25.4,17.4
50,29,15.7
50,32.7,13.7
50,37.1,11.6
50,40.5,10
50,45.4,7.04
50,48.4,4.75
50,51.9,2.99
50,54.7,0.874
50,56.7,0.171
55,-29.9,48.9
55,-23.7,45.8
55,-18.1,43.1
55,-11.3,40
55,-8.22,38.4
55,-5.27,37
55,-0.93,35.4
55,3.41,32.7
55,6.2,31.7
55,12.7,28.5
55,17.8,25.5
55,22,23.4
55,25.9,21.8
55,29.9,19.7
55,33,18.1
55,36.1,16.6
55,39.8,15
55,44,12
55,48.1,10
55,51.6,7.58
55,53.8,5.99
55,56.4,4.41
55,59.2,2.12
55,59.8,1.77
60,-29.5,52.8
60,-25.1,51.2
60,-18.8,49
60,-13.3,46.5
60,-9.15,44.9
60,-4.5,42.6
60,1.4,40
60,6.36,37.3
60,11.2,35.1
60,15.7,32.2
60,21.6,29.8
60,27,27.3
60,31.9,25
60,36.9,22.9
60,40.2,21.2
60,44.3,18.3
60,46.8,17.5
60,50.4,15.5
60,52.6,14.3
60,54.1,13.4
60,57.2,11.7
60,59.5,10.4
65,-29.9,57.1
65,-25.3,55.8
65,-19.8,54.1
65,-15.8,52.8
65,-12.1,51.4
65,-7.44,49.9
65,-3.88,48.6
65,1.55,46.7
65,6.98,44.6
65,12.7,42.5
65,17.1,40.9
65,19.7,40.2
65,20.9,39.3
65,27,37
65,31.2,35.3
65,35,33.5
65,41.7,30.7
65,46.8,27.3
65,50.9,25.9
65,55.3,23.5
65,58.8,21.7
65,60.2,21
70,-29.6,59.9
70,-23.7,58.8
70,-16.7,57.8
70,-9.15,56
70,-3.88,55
70,4.19,53.1
70,12.6,51
70,20.9,48.8
70,29.1,45.9
70,37.8,42.9
70,42.3,41.3
70,46.5,39.9
70,52.4,37.8
70,56.3,36.4
70,58.9,35.5
70,60,35
75,-29.9,63.8
75,-22.8,63.1
75,-16.7,62
75,-10.7,61.5
75,-4.81,61.2
75,1.71,59.9
75,5.58,59.9
75,12.7,58.5
75,16.6,58.4
75,21.1,57.9
75,25,57.2
75,29.8,55.8
75,34.1,54.9
75,37.4,54.2
75,41.2,53.3
75,43.7,52.6
75,46,52.1
75,48.8,51.5
75,51.6,50.5
75,54.3,49.3
75,56.6,49.1
75,58.4,48.2
75,60,48.2
80,-29.8,68.2
80,-24.3,67.7
80,-18.1,67.1
80,-14,67.3
80,-8.22,67.2
80,-1.24,66.8
80,6.51,66.5
80,12.9,66.1
80,17.1,65.6
80,20.2,65.8
80,23.1,65.5
80,30.4,64.2
80,35.7,63.5
80,41.7,62.7
80,47.3,61.4
80,52.7,60.4
80,55.8,59.7
80,58.9,59.2
80,60.3,59
